duration_bin,count,city
0-15,55307,Shanghai
15-30,144194,Shanghai
30-45,194454,Shanghai
45-60,194717,Shanghai
60-75,175056,Shanghai
75-90,145552,Shanghai
90-105,115698,Shanghai
105-120,87359,Shanghai
120-135,64908,Shanghai
135-150,47825,Shanghai
150-165,36126,Shanghai
165-180,27859,Shanghai
180-195,22670,Shanghai
195-210,18554,Shanghai
210-225,15597,Shanghai
225-240,13465,Shanghai
240-255,11568,Shanghai
255-270,10041,Shanghai
270-285,8626,Shanghai
285-300,7411,Shanghai
300-315,6562,Shanghai
315-330,5601,Shanghai
330-345,5056,Shanghai
345-360,4406,Shanghai
360-375,4010,Shanghai
375-390,3708,Shanghai
390-405,3378,Shanghai
405-420,3171,Shanghai
420-435,2972,Shanghai
435-450,2929,Shanghai
450-465,2684,Shanghai
465-480,2464,Shanghai
480+,33206,Shanghai
0-15,58684,Hangzhou
15-30,111355,Hangzhou
30-45,135631,Hangzhou
45-60,142386,Hangzhou
60-75,141021,Hangzhou
75-90,133482,Hangzhou
90-105,122480,Hangzhou
105-120,111053,Hangzhou
120-135,101858,Hangzhou
135-150,93117,Hangzhou
150-165,84736,Hangzhou
165-180,76745,Hangzhou
180-195,68569,Hangzhou
195-210,61332,Hangzhou
210-225,53361,Hangzhou
225-240,46158,Hangzhou
240-255,39214,Hangzhou
255-270,32959,Hangzhou
270-285,27889,Hangzhou
285-300,23664,Hangzhou
300-315,19851,Hangzhou
315-330,16821,Hangzhou
330-345,14324,Hangzhou
345-360,12116,Hangzhou
360-375,10326,Hangzhou
375-390,8730,Hangzhou
390-405,7576,Hangzhou
405-420,6826,Hangzhou
420-435,6172,Hangzhou
435-450,5605,Hangzhou
450-465,5359,Hangzhou
465-480,5051,Hangzhou
480+,61501,Hangzhou
0-15,2986,Yantai
15-30,3218,Yantai
30-45,5457,Yantai
45-60,7229,Yantai
60-75,8431,Yantai
75-90,9019,Yantai
90-105,9239,Yantai
105-120,9235,Yantai
120-135,8960,Yantai
135-150,8888,Yantai
150-165,8391,Yantai
165-180,7948,Yantai
180-195,7539,Yantai
195-210,7253,Yantai
210-225,6908,Yantai
225-240,6682,Yantai
240-255,6200,Yantai
255-270,5914,Yantai
270-285,5552,Yantai
285-300,5140,Yantai
300-315,5037,Yantai
315-330,4717,Yantai
330-345,4519,Yantai
345-360,4173,Yantai
360-375,3915,Yantai
375-390,3544,Yantai
390-405,3320,Yantai
405-420,3095,Yantai
420-435,2990,Yantai
435-450,2613,Yantai
450-465,2470,Yantai
465-480,2380,Yantai
480+,20446,Yantai
