hour,deliveries,avg_duration,median_duration,avg_distance,city
0,1,4.0,4.0,0.8742244894188886,Shanghai
5,6,307.8333333333333,283.5,2.091009622770137,Shanghai
6,506,321.9664031620553,298.5,2.4974810075211082,Shanghai
7,16474,136.76174578123104,94.0,2.691744306277,Shanghai
8,178137,131.1537299943302,93.0,3.5530616517981435,Shanghai
9,212842,152.47095967901072,99.0,4.075239341881874,Shanghai
10,160693,123.57001860690883,77.0,3.7124380084263673,Shanghai
11,136937,98.33364978055602,68.0,2.476723596933402,Shanghai
12,100751,94.94629333703884,67.0,3.0290488928429355,Shanghai
13,88559,91.163890739507,66.0,2.1914550793042005,Shanghai
14,106058,84.93621414697618,64.0,2.6854063122197083,Shanghai
15,127020,82.90895134624469,64.0,2.13107299067586,Shanghai
16,144681,84.37539137827358,67.0,2.739770544986779,Shanghai
17,88499,74.50407349235584,57.0,2.0223246456928248,Shanghai
18,63870,62.5040081415375,49.0,1.850145512134975,Shanghai
19,30147,61.19434769628819,49.0,1.9584591283002462,Shanghai
20,13935,57.241908862576246,45.0,2.023064155404918,Shanghai
21,5504,45.57667151162791,31.0,2.206977183533286,Shanghai
22,2036,31.259332023575638,16.0,2.2987156658522947,Shanghai
23,482,21.33817427385892,6.0,3.022243099644766,Shanghai
0,2,727.0,727.0,0.5720420205006399,Hangzhou
3,1,45.0,45.0,0.7538629532879719,Hangzhou
4,33,166.75757575757575,145.0,0.9247059100077498,Hangzhou
5,445,153.52808988764045,131.0,1.5917658798582013,Hangzhou
6,2836,176.0687588152327,155.0,2.3168170040087195,Hangzhou
7,225823,171.61511892057052,146.0,2.23153242299312,Hangzhou
8,593115,191.0136516527149,159.0,3.3607707480973725,Hangzhou
9,212706,193.21594125224487,156.0,4.636118694417361,Hangzhou
10,82055,171.81472183291694,129.0,4.949363371707376,Hangzhou
11,44937,140.80121058370608,97.0,3.797860250123869,Hangzhou
12,37884,124.03811635518953,93.0,3.756990849744316,Hangzhou
13,56063,105.64670103276671,79.0,2.791991178910715,Hangzhou
14,81709,91.18993011785727,69.0,3.0469804162364107,Hangzhou
15,239808,89.39812683480118,69.0,2.4872700764217175,Hangzhou
16,134257,98.1299597041495,76.0,2.89811755055057,Hangzhou
17,68249,73.08300487919237,47.0,2.055101016406775,Hangzhou
18,41972,61.45270656628228,41.0,3.334882667531072,Hangzhou
19,16603,60.759561525025596,40.0,2.0695779519569903,Hangzhou
20,4898,54.40567578603512,31.0,2.5983675326619355,Hangzhou
21,1903,43.89017341040462,28.0,2.8867431491806115,Hangzhou
22,530,31.722641509433963,14.0,2.7944957846227796,Hangzhou
23,135,24.11111111111111,4.0,4.1479130201027,Hangzhou
5,137,340.84671532846716,260.0,4.78305926304108,Yantai
6,1141,344.4014022787029,311.0,4.735392081335367,Yantai
7,5103,326.2073290221438,291.0,7.8141444532856745,Yantai
8,30351,302.05996507528585,264.0,12.653736643649639,Yantai
9,37019,270.7708474026851,237.0,6.203872165230419,Yantai
10,63483,239.31302868484477,204.0,12.524212483838026,Yantai
11,30506,232.66298433095128,201.0,17.717381818694324,Yantai
12,13102,184.99771027324073,146.0,16.504370729910438,Yantai
13,7457,177.40834115596084,136.0,4.391862451717767,Yantai
14,5874,156.71944160708205,133.0,30.855645913402643,Yantai
15,3949,133.56064826538363,110.0,19.72913521435646,Yantai
16,2208,117.96739130434783,95.0,3.418626509564457,Yantai
17,1345,99.52118959107807,81.0,3.2063908319342556,Yantai
18,938,86.69189765458422,67.0,17.088295619307825,Yantai
19,436,55.01146788990825,35.0,3.2105499257946057,Yantai
20,220,50.80909090909091,9.0,3.5871842355554064,Yantai
21,116,37.68103448275862,4.0,4.154358827992314,Yantai
22,23,62.608695652173914,1.0,6.61048714331381,Yantai
23,4,2.5,2.0,1.5696747196198226,Yantai
