month,deliveries,avg_duration,unique_couriers,city
5,20806,173.7639142555032,387,Shanghai
6,182241,111.50142942587014,873,Shanghai
7,259370,104.8788718818676,590,Shanghai
8,315648,99.79934927514194,583,Shanghai
9,324841,105.2456524884482,661,Shanghai
10,374232,100.6521542786293,1014,Shanghai
5,230798,136.4286042340055,486,Hangzhou
6,294626,144.2651157738964,591,Hangzhou
7,266628,150.99619694855755,525,Hangzhou
8,312966,153.05726820165768,558,Hangzhou
9,345938,156.29777012065745,624,Hangzhou
10,395008,150.77010085871677,871,Hangzhou
5,29143,230.1228768486429,132,Yantai
6,38268,246.91797324135047,140,Yantai
7,31034,244.03199716440034,121,Yantai
8,35604,248.0829962925514,130,Yantai
9,33303,242.09719845059004,128,Yantai
10,36060,240.51539101497505,132,Yantai
